Year,Month,Volume of transactions (in Crs),Value of transactions (in Rs Crs)
2018,Jan,15.1,46100
2018,Feb,17.1,54210
2018,Mar,19,58650
2018,Apr,22.1,67320
2018,May,24.2,70770
2018,Jun,25.4,75450
2018,Jul,27.3,81900
2018,Aug,31.2,84980
2018,Sep,33.5,90120
2018,Oct,48.2,100150
2018,Nov,52.1,105400
2018,Dec,62,112300
2019,Jan,67.2,120500
2019,Feb,68.1,132400
2019,Mar,79.9,141200
2019,Apr,82.7,151500
2019,May,88.9,163400
2019,Jun,92.1,172300
2019,Jul,95.5,181400
2019,Aug,99.9,189200
2019,Sep,96.4,191300
2019,Oct,114.8,201200
2019,Nov,121.9,212100
2019,Dec,130.8,221300
2020,Jan,131.2,216200
2020,Feb,132.5,222500
2020,Mar,124.7,206400
2020,Apr,99.9,151100
2020,May,123.3,218300
2020,Jun,133.7,261800
2020,Jul,149.6,290500
2020,Aug,161.8,328900
2020,Sep,180.4,329000
2020,Oct,207.1,386100
2020,Nov,221.1,390900
2020,Dec,223.4,416100
2021,Jan,230.3,431100
2021,Feb,229.3,425000
2021,Mar,273.2,504800
2021,Apr,264.2,493600
2021,May,253.9,490600
2021,Jun,280.4,547300
2021,Jul,324.5,606200
2021,Aug,355.7,639100
2021,Sep,365.1,654300
2021,Oct,421.9,771400
2021,Nov,456.2,822300
2021,Dec,456,826800
2022,Jan,461.7,831900
2022,Feb,452.7,826600
2022,Mar,540.5,960500
2022,Apr,558.3,983300
2022,May,595.5,1041500
2022,Jun,586.2,1014300
2022,Jul,628.8,1062900
2022,Aug,657.8,1072700
2022,Sep,678,1116700
2022,Oct,730,1211000
2022,Nov,730.9,1190500
2022,Dec,782.9,1282200
2023,Jan,803.6,1298800
2023,Feb,753.5,1235800
2023,Mar,868.5,1405600
2023,Apr,898.1,1407500
2023,May,941.5,1430400
2023,Jun,933.7,1475400
2023,Jul,996.4,1533700
2023,Aug,1058.4,1576200
2023,Sep,1056.2,1580400
2023,Oct,1141.2,1716500
2023,Nov,1124.5,1740200
2023,Dec,1202,1822700